seed,ticker,start,end,days,peak_date,max_score,threshold,score_ratio,under_threshold
0,ORCL,2023-05-25,2023-05-25,1,2023-05-25,0.0003374563869632,0.0015159095603688145,0.22260984150076754,0.0011784531734056144
0,INTU,2023-10-25,2023-10-25,1,2023-10-25,0.0003474237370634,0.0015159095603688145,0.22918500294890498,0.0011684858233054144
0,V,2023-09-14,2023-09-14,1,2023-09-14,0.0003640838606467,0.0015159095603688145,0.240175186017113,0.0011518256997221144
0,JPM,2023-03-15,2023-03-15,1,2023-03-15,0.0003661757671216,0.0015159095603688145,0.24155515387904208,0.0011497337932472144
0,MA,2024-08-05,2024-08-05,1,2024-08-05,0.0003678428385076,0.0015159095603688145,0.24265487079460424,0.0011480667218612146
0,TMUS,2024-03-07,2024-03-07,1,2024-03-07,0.000374599684316,0.0015159095603688145,0.24711215900298264,0.0011413098760528146
0,MA,2024-02-20,2024-02-20,1,2024-02-20,0.0003758310166934,0.0015159095603688145,0.24792443198389874,0.0011400785436754145
0,MO,2024-02-01,2024-02-01,1,2024-02-01,0.0003766784015624,0.0015159095603688145,0.24848342632706646,0.0011392311588064145
0,BLK,2023-11-02,2023-11-02,1,2023-11-02,0.0003802558557557,0.0015159095603688145,0.25084336539389945,0.0011356537046131145
0,A,2023-04-25,2023-04-25,1,2023-04-25,0.0003803116514366,0.0015159095603688145,0.2508801721285218,0.0011355979089322146
0,ALLE,2023-12-14,2023-12-14,1,2023-12-14,0.0003857261487307,0.0015159095603688145,0.2544519533453265,0.0011301834116381145
0,LNT,2024-11-01,2024-11-01,1,2024-11-01,0.0003887533675879,0.0015159095603688145,0.25644891868965974,0.0011271561927809145
0,INTU,2024-05-30,2024-05-30,1,2024-05-30,0.000396015112589,0.0015159095603688145,0.26123927372860634,0.0011198944477798145
0,ADBE,2024-02-16,2024-02-16,1,2024-02-16,0.0003977190652752,0.0015159095603688145,0.26236332013001923,0.0011181904950936144
0,MSFT,2024-01-31,2024-01-31,1,2024-01-31,0.0004011724397666,0.0015159095603688145,0.2646414075447855,0.0011147371206022144
0,MMM,2023-09-13,2023-09-13,1,2023-09-13,0.0004107291902376,0.0015159095603688145,0.27094570875169577,0.0011051803701312144
0,V,2024-03-22,2024-03-22,1,2024-03-22,0.0004190522665642,0.0015159095603688145,0.27643619218434534,0.0010968572938046144
0,DIS,2024-08-07,2024-08-07,1,2024-08-07,0.0004381598184409,0.0015159095603688145,0.2890408701784937,0.0010777497419279145
0,JPM,2023-10-27,2023-10-27,1,2023-10-27,0.0004429050487184,0.0015159095603688145,0.29217115604881005,0.0010730045116504145
0,ROST,2024-11-25,2024-11-25,1,2024-11-25,0.0004567459307145,0.0015159095603688145,0.3013015701301967,0.0010591636296543145
0,TMO,2024-01-31,2024-01-31,1,2024-01-31,0.0004615590716033,0.0015159095603688145,0.30447665459079537,0.0010543504887655145
0,INTC,2024-04-03,2024-04-03,1,2024-04-03,0.0004628578863654,0.0015159095603688145,0.30533344367376947,0.0010530516740034144
0,RCL,2024-08-06,2024-08-06,1,2024-08-06,0.0004776287622613,0.0015159095603688145,0.31507734679441884,0.0010382807981075145
0,PG,2023-10-18,2023-10-18,1,2023-10-18,0.0004832795525241,0.0015159095603688145,0.31880500338458195,0.0010326300078447146
0,EMR,2024-05-08,2024-05-08,1,2024-05-08,0.0004941392903371,0.0015159095603688145,0.3259688462000846,0.0010217702700317144
0,ACN,2024-09-17,2024-09-17,1,2024-09-17,0.0004954243596178,0.0015159095603688145,0.3268165678018848,0.0010204852007510146
0,CRM,2024-11-11,2024-11-11,1,2024-11-11,0.0005000405448039,0.0015159095603688145,0.3298617265018384,0.0010158690155649143
0,AVGO,2023-09-01,2023-09-01,1,2023-09-01,0.0005052646686332,0.0015159095603688145,0.3333079240626144,0.0010106448917356144
0,CL,2023-12-14,2023-12-14,1,2023-12-14,0.000505704532649,0.0015159095603688145,0.3335980891405977,0.0010102050277198144
0,ADBE,2023-05-25,2023-05-25,1,2023-05-25,0.0005184840647416,0.0015159095603688145,0.3420283625729328,0.0009974254956272143
0,MU,2023-04-10,2023-04-10,1,2023-04-10,0.0005234377664843,0.0015159095603688145,0.34529617080648917,0.0009924717938845145
