ticker,start,end,n_missed_seeds,missed_seeds,mean_score_ratio,miss_type_50,miss_type_75,label_return_abs_z3,label_volume_z2,label_volratio_1p5,panel_return_extreme,panel_volume_extreme,panel_gap_extreme,max_abs_z_return,max_volume_z,max_vol_ratio_5_20,max_abs_gap,max_abs_log_return_1d,peak_return_date
NFLX,2023-03-23,2023-03-23,2,"1,2",0.5495984210593365,threshold_miss,hard_or_mid,True,True,True,True,False,False,3.5806842765538733,2.102169083582317,1.5631835967324232,0.036679178100009,0.086236986138523,2023-03-23
AMD,2023-02-01,2023-02-01,2,"0,1",0.5727737948954104,threshold_miss,hard_or_mid,True,True,False,True,False,False,3.31147233045079,3.144951850083512,1.3649594833094034,0.0441783050827903,0.1189208243954148,2023-02-01
MHK,2023-10-12,2023-10-12,2,"0,1",0.5771388301196806,threshold_miss,hard_or_mid,True,False,True,False,False,False,3.2252723828092846,1.571152816855946,1.5087502442578244,0.0085338532319409,0.0588261275849889,2023-10-12
AXP,2024-11-06,2024-11-06,2,"1,2",0.5907659805973071,threshold_miss,hard_or_mid,True,True,False,True,False,True,4.413617855408719,2.526500420892378,1.4580226934121805,0.0437052786529774,0.0673342639283898,2024-11-06
A,2023-04-25,2023-04-25,2,"0,2",0.5908894476372968,threshold_miss,hard_or_mid,True,False,True,True,False,False,3.815906151647765,1.418722196131912,1.5588808390336215,0.0140092239073221,0.0603493178973975,2023-04-25
AMD,2024-02-22,2024-02-22,2,"1,2",0.5913044132029479,threshold_miss,hard_or_mid,True,False,True,True,False,True,3.339806504867993,1.0320652977583469,1.5599963740031024,0.0542333923287043,0.1016040456016355,2024-02-22
DIS,2024-08-07,2024-08-07,2,"0,2",0.6101052242890416,threshold_miss,hard_or_mid,True,True,False,False,False,False,3.3498555582256,3.3673385066668127,1.321501300520955,0.0218961748136291,0.0455942072167371,2024-08-07
V,2023-09-14,2023-09-14,2,"0,1",0.61024479230964,threshold_miss,hard_or_mid,True,True,False,False,True,False,3.4340327013933387,3.334077001430194,1.2369653082589491,0.0114191753823535,0.0258736122524481,2023-09-14
AFL,2024-10-31,2024-10-31,2,"0,2",0.6521112304440981,threshold_miss,hard_or_mid,True,True,False,True,False,True,5.375084001319978,2.557269903914613,1.3257033535601304,0.0263420601552553,0.0493398554048943,2024-10-31
CVS,2024-10-18,2024-10-18,2,"0,1",0.6722182773793723,threshold_miss,hard_or_mid,True,True,False,False,True,True,3.080535679157738,4.3438104302287615,1.1419214305689167,0.0648656105570707,0.0537181627134619,2024-10-18
ACN,2023-09-28,2023-09-28,2,"0,2",0.676061890743513,threshold_miss,hard_or_mid,True,True,False,True,True,True,4.191687050534073,3.5854839582662192,1.4671725198556729,0.0401744638548646,0.0442567876648799,2023-09-28
APTV,2023-02-14,2023-02-14,2,"0,1",0.6764181901665562,threshold_miss,hard_or_mid,True,True,False,True,False,False,3.581204322101481,2.479295956290149,1.4117209152614296,0.0067382048939982,0.0710889471899682,2023-02-14
JNJ,2024-05-01,2024-05-01,2,"1,2",0.6814690750430348,threshold_miss,hard_or_mid,True,True,True,True,False,True,5.395776555113742,2.8634082261827647,1.5750403043747605,0.0287019325937415,0.044569027041417,2024-05-01
AAPL,2024-05-03,2024-05-03,2,"1,2",0.6938279973610114,threshold_miss,hard_or_mid,True,True,False,True,True,True,4.453602951149957,3.566235334164821,1.3333002027189338,0.0787145954353517,0.0580954994789925,2024-05-03
DE,2023-08-18,2023-08-18,2,"0,2",0.6943694608393597,threshold_miss,hard_or_mid,True,True,False,True,True,True,3.838461217105735,3.6256924202343166,1.2111493904527664,0.0273165223644705,0.0542660421614025,2023-08-18
DUK,2024-10-07,2024-10-07,2,"0,2",0.6971613280589815,threshold_miss,hard_or_mid,True,True,False,True,False,False,3.98043903691241,2.335925007026783,1.438094015270117,0.0022797522113722,0.0340678847884701,2024-10-07
UNH,2024-07-16,2024-07-16,2,"0,1",0.7133267576180575,threshold_miss,hard_or_mid,True,True,False,True,False,True,4.392328388853838,2.8245879089125725,1.0319474651260925,0.0359550425246318,0.0629767568179909,2024-07-16
DLTR,2024-08-29,2024-08-29,2,"0,1",0.7213266499578947,threshold_miss,hard_or_mid,True,True,False,True,False,True,5.956998718339431,2.307239319267027,1.3957821676330022,0.0888206592216596,0.1079988326622505,2024-08-29
ABT,2024-07-18,2024-07-18,2,"0,2",0.7400757125250879,threshold_miss,hard_or_mid,True,True,False,True,False,True,4.618625933172546,2.616363959423935,1.4431355694096368,0.0218762132026612,0.0450381531645015,2024-07-18
TSLA,2024-04-24,2024-04-24,2,"0,1",0.7603309697827894,threshold_miss,near_threshold_miss,True,True,False,True,False,True,4.16664666096594,3.515357767009862,1.4721085362184343,0.1255184170595696,0.113874156218306,2024-04-24
