seed,ticker,start,end,days,peak_date,max_score,threshold,score_ratio
0,JPM,2023-10-13,2023-10-13,1,2023-10-13,0.0030080508256408,0.0015159095603688145,1.9843207697093446
0,MGM,2023-02-09,2023-02-09,1,2023-02-09,0.0029875615900554,0.0015159095603688145,1.9708046364774814
0,COF,2023-01-25,2023-01-25,1,2023-01-25,0.0029858525294912,0.0015159095603688145,1.9696772205623891
0,LEN,2023-11-24,2023-11-24,1,2023-11-24,0.0029235516830037,0.0015159095603688145,1.928579223613058
0,GOOGL,2024-10-30,2024-10-30,1,2024-10-30,0.0029128557923899,0.0015159095603688145,1.921523465873
0,BLDR,2024-10-29,2024-10-29,1,2024-10-29,0.0028879073308251,0.0015159095603688145,1.9050657152148867
0,BKNG,2024-05-03,2024-05-03,1,2024-05-03,0.0028128360146486,0.0015159095603688145,1.855543423028646
0,GILD,2023-03-17,2023-03-17,1,2023-03-17,0.0027403061416967,0.0015159095603688145,1.8076976445943087
0,GM,2024-04-23,2024-04-23,1,2024-04-23,0.0027155024016489,0.0015159095603688145,1.7913353623736166
0,DUK,2023-12-15,2023-12-15,1,2023-12-15,0.0026692245999583,0.0015159095603688145,1.7608072867545534
0,BMY,2023-03-17,2023-03-17,1,2023-03-17,0.0026288640533144,0.0015159095603688145,1.7341826465391565
0,AVGO,2024-03-08,2024-03-08,1,2024-03-08,0.0026281161165873,0.0015159095603688145,1.7336892551478402
0,COF,2024-02-20,2024-02-20,1,2024-02-20,0.0025780884549021,0.0015159095603688145,1.700687509533789
0,KVUE,2024-10-21,2024-10-21,1,2024-10-21,0.0025654475257033,0.0015159095603688145,1.6923486682669495
0,EL,2023-08-18,2023-08-18,1,2023-08-18,0.0025577474271813,0.0015159095603688145,1.6872691445781307
0,XOM,2024-03-15,2024-03-15,1,2024-03-15,0.0024969006083362,0.0015159095603688145,1.6471303259864094
0,WMT,2023-02-21,2023-02-21,1,2023-02-21,0.0024700564202195,0.0015159095603688145,1.6294220214684478
0,COP,2024-09-20,2024-09-20,1,2024-09-20,0.0024678210214915,0.0015159095603688145,1.6279473960775663
0,CCL,2023-06-30,2023-06-30,1,2023-06-30,0.0024186841357732,0.0015159095603688145,1.595533268610526
0,PHM,2023-11-24,2023-11-24,1,2023-11-24,0.002339454369697,0.0015159095603688145,1.543267771942688
0,ALGN,2023-03-03,2023-03-03,1,2023-03-03,0.0022975201433534,0.0015159095603688145,1.5156050225017532
0,TSLA,2023-01-26,2023-01-26,1,2023-01-26,0.0022926502005087,0.0015159095603688145,1.5123924674971427
0,ARE,2023-06-16,2023-06-16,1,2023-06-16,0.0022919953626114,0.0015159095603688145,1.5119604906072148
0,PLTR,2023-07-28,2023-07-31,2,2023-07-28,0.0022619707120005,0.0015159095603688145,1.4921541305209343
0,GS,2024-04-15,2024-04-15,1,2024-04-15,0.0022607197007649,0.0015159095603688145,1.4913288759884042
0,WFC,2023-03-15,2023-03-15,1,2023-03-15,0.0022269659116864,0.0015159095603688145,1.4690625152760357
0,LOW,2024-06-28,2024-06-28,1,2024-06-28,0.0022255275970868,0.0015159095603688145,1.4681137023407507
0,NVDA,2024-07-31,2024-07-31,1,2024-07-31,0.0022176279441434,0.0015159095603688145,1.4629025385946246
0,AOS,2023-11-24,2023-11-24,1,2023-11-24,0.0022046532239376,0.0015159095603688145,1.4543435054273401
0,MMM,2024-10-22,2024-10-22,1,2024-10-22,0.0022025738975831,0.0015159095603688145,1.4529718362929402
0,CCL,2024-02-27,2024-02-27,1,2024-02-27,0.0021751022912212,0.0015159095603688145,1.434849642805872
0,AMD,2024-04-04,2024-04-04,1,2024-04-04,0.0021218549006637,0.0015159095603688145,1.3997239387734066
